key1,key2,value,label
neighbor1,sect3,0.7401574803149606,strongest
neighbor3,sect2,0.7372488408037094,strongest
neighbor3,sect1,0.7341576506955177,strongest
neighbor6,sect8,0.7339055793991416,strongest
neighbor3,sect5,0.732612055641422,strongest
neighbor3,sect3,0.732612055641422,strongest
neighbor3,sect8,0.732612055641422,strongest
neighbor3,sect4,0.731066460587326,strongest
neighbor6,sect10,0.7296137339055794,strongest
neighbor6,sect2,0.7296137339055794,strongest
neighbor6,sect3,0.7296137339055794,strongest
neighbor6,sect4,0.7296137339055794,strongest
neighbor6,sect6,0.7296137339055794,strong
neighbor3,sect7,0.7295208655332303,strong
neighbor1,sect2,0.7283464566929134,strong
neighbor3,sect6,0.7264296754250387,strong
neighbor6,sect5,0.7253218884120172,strong
neighbor3,sect10,0.7217928902627512,strong
neighbor6,sect9,0.721030042918455,strong
neighbor6,sect1,0.721030042918455,strong
neighbor4,sect6,0.7208121827411167,strong
neighbor6,sect7,0.7167381974248928,strong
neighbor1,sect9,0.7165354330708661,strong
neighbor4,sect8,0.715736040609137,strong
neighbor4,sect7,0.715736040609137,neutral
neighbor3,sect9,0.714064914992272,neutral
neighbor1,sect5,0.7125984251968503,neutral
neighbor4,sect2,0.7106598984771573,neutral
neighbor4,sect3,0.7106598984771573,neutral
neighbor1,sect6,0.7086614173228346,neutral
neighbor1,sect4,0.7086614173228346,neutral
neighbor1,sect8,0.7086614173228346,neutral
neighbor4,sect9,0.7055837563451776,neutral
neighbor1,sect10,0.7047244094488189,neutral
neighbor1,sect7,0.7047244094488189,neutral
neighbor5,sect2,0.7032967032967032,neutral
neighbor5,sect4,0.7032967032967032,weak
neighbor5,sect8,0.7032967032967032,weak
neighbor1,sect1,0.7007874015748031,weak
neighbor4,sect1,0.700507614213198,weak
neighbor5,sect10,0.6996336996336996,weak
neighbor5,sect6,0.6996336996336996,weak
neighbor5,sect5,0.6996336996336996,weak
neighbor5,sect3,0.6959706959706959,weak
neighbor5,sect1,0.6959706959706959,weak
neighbor4,sect5,0.6954314720812182,weak
neighbor4,sect10,0.6954314720812182,weak
neighbor5,sect9,0.6923076923076923,weak
neighbor4,sect4,0.6903553299492385,weakest
neighbor2,sect8,0.6875,weakest
neighbor5,sect7,0.6813186813186813,weakest
neighbor2,sect4,0.6793478260869565,weakest
neighbor2,sect7,0.6793478260869565,weakest
neighbor2,sect5,0.6766304347826086,weakest
neighbor2,sect3,0.6766304347826086,weakest
neighbor2,sect10,0.6739130434782609,weakest
neighbor2,sect6,0.6739130434782609,weakest
neighbor2,sect2,0.6684782608695652,weakest
neighbor2,sect1,0.6630434782608695,weakest
neighbor2,sect9,0.6603260869565217,weakest
